도서관명,시도명,시군구명,도서관유형,휴관일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,열람좌석수,자료수(도서),자료수(연속간행물),자료수(비도서),대출가능권수,대출가능일수,소재지도로명주소,운영기관명,도서관전화번호,부지면적,건물면적,홈페이지주소,위도,경도,데이터기준일자
선경도서관,경기도,수원시,공공도서관,월,7:00,23:00,7:00,23:00,0:00,0:00,820,469597,273,23893,7,14,경기도 수원시 팔달구 신풍로23번길 68(신풍동),경기도 수원시청,031-228-4728,11830,8312,https://www.suwonlib.go.kr/sk/,37.28386229,127.0104308,2022-06-02
중앙도서관,경기도,수원시,공공도서관,금,7:00,23:00,7:00,23:00,0:00,0:00,351,264342,147,11446,7,14,경기도 수원시 팔달구 팔달산로 318(교동),경기도 수원시청,031-228-4788,3438,2712,https://www.suwonlib.go.kr/ct,37.27358027,127.0121318,2022-06-02
창룡도서관,경기도,수원시,공공도서관,금,7:00,23:00,7:00,21:00,0:00,0:00,490,88260,175,97,7,14,경기도 수원시 팔달구 월드컵로381번길 36(우만동),경기도 수원시청,031-228-4881,5123,4337,https://www.suwonlib.go.kr/cy,37.29074267,127.027547,2022-06-02
화서다산도서관,경기도,수원시,공공도서관,월,7:00,23:00,7:00,21:00,0:00,0:00,354,75955,132,0,7,14,경기도 수원시 팔달구 화양로68번길 7-35(화서동),경기도 수원시청,031-228-3545,5467,3611,https://www.suwonlib.go.kr/hd,37.28564516,126.9974301,2022-06-02
호매실도서관,경기도,수원시,공공도서관,월,7:00,23:00,7:00,21:00,0:00,0:00,447,118807,241,0,7,14,경기도 수원시 권선구 칠보로 169(호매실동),경기도 수원시청,031-228-4658,8637,4930,https://www.suwonlib.go.kr/hms,37.26641239,126.9579291,2022-06-02
서수원도서관,경기도,수원시,공공도서관,금,7:00,23:00,7:00,23:00,0:00,0:00,570,223458,110,7560,7,14,경기도 수원시 권선구 탑동로57번길 35(탑동),경기도 수원시청,031-228-4747,2634,4587,https://www.suwonlib.go.kr/seo,37.27311888,126.9720678,2022-06-02
한림도서관,경기도,수원시,공공도서관,금,7:00,23:00,7:00,21:00,0:00,0:00,333,77373,138,0,7,14,경기도 수원시 권선구 동수원로25번길 32-52(권선동),경기도 수원시청,031-228-4855,7155,2417,https://www.suwonlib.go.kr/hl,37.23760102,127.0250249,2022-06-02
버드내도서관,경기도,수원시,공공도서관,월,7:00,23:00,7:00,21:00,0:00,0:00,369,84054,215,0,7,14,경기도 수원시 권선구 세권로94번길 29,경기도 수원시청,031-228-4866,5653,4000,https://www.suwonlib.go.kr/bdn,37.25682311,127.0147766,2022-06-02
북수원도서관,경기도,수원시,공공도서관,월,7:00,23:00,7:00,23:00,0:00,0:00,665,221425,141,6767,7,14,경기도 수원시 장안구 만석로 65(정자동),경기도 수원시청,031-228-4779,4530,4480,https://www.suwonlib.go.kr/buk,37.29766409,126.9883075,2022-06-02
대추골도서관,경기도,수원시,공공도서관,금,7:00,23:00,7:00,21:00,0:00,0:00,404,106360,157,0,7,14,경기도 수원시 장안구 수일로 164(조원동),경기도 수원시청,031-228-4543,3460,2692,https://www.suwonlib.go.kr/dcg,37.30660898,127.0080955,2022-06-02
일월도서관,경기도,수원시,공공도서관,금,7:00,23:00,7:00,21:00,0:00,0:00,407,91056,125,0,7,14,경기도 수원시 장안구 일월천로 77(천천동),경기도 수원시청,031-228-4890,7961,3905,https://www.suwonlib.go.kr/iw,37.286894,126.977793,2022-06-02
광교홍재도서관,경기도,수원시,공공도서관,월,7:00,23:00,7:00,23:00,0:00,0:00,958,118924,166,0,7,14,경기도 수원시 영통구 대학로 88(이의동),경기도 수원시청,031-228-4639,3057,9825,https://www.suwonlib.go.kr/gh/,37.302936,127.047441,2022-06-02
영통도서관,경기도,수원시,공공도서관,월,7:00,23:00,7:00,23:00,0:00,0:00,825,294347,151,10088,7,14,경기도 수원시 영통구 청명로 151(영통동),경기도 수원시청,031-228-4756,9572,4136,https://www.suwonlib.go.kr/yt/,37.257187,127.072059,2022-06-02
태장마루도서관,경기도,수원시,공공도서관,금,7:00,23:00,7:00,23:00,0:00,0:00,582,131031,140,0,7,14,경기도 수원시 영통구 태장로 46(망포동),경기도 수원시청,031-228-4828,4676,3969,https://www.suwonlib.go.kr/tm/,37.238669,127.051003,2022-06-02
광교푸른숲도서관,경기도,수원시,공공도서관,금,7:00,23:00,7:00,21:00,0:00,0:00,632,50179,104,0,7,14,경기도 수원시 영통구 광교호수로 131(하동),경기도 수원시청,031-228-3537,20000,4505,https://www.suwonlib.go.kr/gps,37.28095588,127.0668183,2022-06-02
매여울도서관,경기도,수원시,공공도서관,금,7:00,23:00,7:00,21:00,0:00,0:00,500,49360,129,0,7,14,경기도 수원시 영통구 효원로 415,경기도 수원시청,031-228-3571,2108,3913,https://www.suwonlib.go.kr/myu/,37.25932937,127.0473596,2022-06-02
망포글빛도서관,경기도,수원시,공공도서관,월,7:00,23:00,7:00,21:00,0:00,0:00,480,45465,100,0,7,14,경기도 수원시 영통구 동탄지성로 549-15(망포동),경기도 수원시청,031-228-4288,45103,2929,https://www.suwonlib.go.kr/mpgb,37.24070726,127.0444662,2022-06-02
슬기샘어린이도서관,경기도,수원시,어린이도서관,월,9:00,18:00,9:00,18:00,0:00,0:00,471,128508,62,4252,7,14,경기도 수원시 장안구 송정로 9(송죽동),수원문화재단,031-242-6633,5100,2565,https://www.suwonlib.go.kr/skid,37.29757718,126.9991131,2022-06-02
지혜샘어린이도서관,경기도,수원시,어린이도서관,월,9:00,18:00,9:00,18:00,0:00,0:00,516,134499,60,4070,7,14,경기도 수원시 권선구 동탄원천로 818(권선동),수원문화재단,031-225-5566,4107,2447,https://www.suwonlib.go.kr/jkid,37.248008,127.040081,2022-06-02
바른샘어린이도서관,경기도,수원시,어린이도서관,월,9:00,18:00,9:00,18:00,0:00,0:00,500,131179,79,3593,7,14,경기도 수원시 영통구 매봉로 10(매탄동 1213),수원문화재단,031-216-9374,1612,2666,https://www.suwonlib.go.kr/bkid,37.268857,127.052367,2022-06-02
희망샘도서관,경기도,수원시,공공도서관,일,9:00,22:00,9:00,20:00,0:00,0:00,137,37227,22,2205,7,14,경기도 수원시 권선구 매송고색로 620(고색동 905-11),수원YMCA,031-291-6943,417,417,https://www.suwonlib.go.kr/swhope,37.247752,126.972927,2022-06-02
사랑샘도서관,경기도,수원시,공공도서관,일,9:00,18:00,0:00,0:00,0:00,0:00,63,26396,28,3679,5,14,경기도 수원시 영통구 창룡대로 255(이의동 1088-13),수원중앙복지재단,031-548-5622,7929,542,https://www.suwonlib.go.kr/swlove,37.29554841,127.0360962,2022-06-02
반달어린이도서관,경기도,수원시,어린이도서관,일,9:00,18:00,9:00,18:00,0:00,0:00,120,36108,0,0,5,14,경기도 수원시 영통구 반달로 45(영통동 1012-5),조계종수원사,031-201-8350,7193,428,https://www.suwonlib.go.kr/bandal,37.250685,127.077386,2022-06-02
한아름도서관,경기도,수원시,공공도서관,월,9:00,22:00,9:00,22:00,0:00,0:00,88,47598,48,872,5,14,경기도 수원시 팔달구 권광로 293(인계동 333),수원시청소년육성재단,031-218-0420,555,555,https://www.suwonlib.go.kr/sycc,37.27363194,127.0350112,2022-06-02
